,param_hidden_layer_sizes,param_activation,param_learning_rate_init,param_solver,param_alpha,mean_test_score,std_test_score
66,"(40, 20)",relu,0.001,adam,1e-05,0.6196236559139785,0.021547338093926588
71,"(50, 10)",relu,0.01,adam,1e-05,0.6169354838709677,0.029722237079967687
26,"(40, 20)",relu,0.001,adam,0.0001,0.6155913978494624,0.02492908197713897
28,"(50, 5)",relu,0.001,adam,0.0001,0.614247311827957,0.021547338093926588
74,"(60, 5)",relu,0.001,adam,1e-05,0.6129032258064516,0.018032806270159577
3,"(30,)",relu,0.01,adam,0.0001,0.6115591397849462,0.02300704673202107
43,"(30,)",relu,0.01,adam,1e-05,0.6115591397849462,0.034660744511364555
4,"(40,)",relu,0.001,adam,0.0001,0.6102150537634409,0.04648283996180262
75,"(60, 5)",relu,0.01,adam,1e-05,0.6102150537634409,0.036265423557075384
22,"(40, 5)",relu,0.001,adam,0.0001,0.6102150537634409,0.013707041703206399
42,"(30,)",relu,0.001,adam,1e-05,0.6088709677419355,0.03746602114184504
2,"(30,)",relu,0.001,adam,0.0001,0.6088709677419354,0.03507523750188143
69,"(50, 5)",relu,0.01,adam,1e-05,0.6088709677419354,0.03629032258064516
76,"(60, 10)",relu,0.001,adam,1e-05,0.6075268817204301,0.05050616727972025
51,"(20, 5)",relu,0.01,adam,1e-05,0.6075268817204301,0.03005467711693263
34,"(60, 5)",relu,0.001,adam,0.0001,0.6075268817204301,0.023124530287748978
18,"(30, 10)",relu,0.001,adam,0.0001,0.6061827956989247,0.024820141549219583
44,"(40,)",relu,0.001,adam,1e-05,0.6061827956989247,0.039347530022323746
68,"(50, 5)",relu,0.001,adam,1e-05,0.6048387096774194,0.022329634040102332
79,"(60, 20)",relu,0.01,adam,1e-05,0.603494623655914,0.014287830393460538
62,"(40, 5)",relu,0.001,adam,1e-05,0.6034946236559139,0.02770904318291439
77,"(60, 10)",relu,0.01,adam,1e-05,0.6021505376344086,0.027806667830076858
27,"(40, 20)",relu,0.01,adam,0.0001,0.6021505376344086,0.04457829019294891
78,"(60, 20)",relu,0.001,adam,1e-05,0.6021505376344086,0.037151276777110886
37,"(60, 10)",relu,0.01,adam,0.0001,0.6008064516129034,0.013772783287580092
56,"(30, 5)",relu,0.001,adam,1e-05,0.6008064516129032,0.03149294224155906
65,"(40, 10)",relu,0.01,adam,1e-05,0.6008064516129032,0.03413555134193627
17,"(30, 5)",relu,0.01,adam,0.0001,0.6008064516129032,0.02362687611726738
72,"(50, 20)",relu,0.001,adam,1e-05,0.6008064516129031,0.042354707679001964
32,"(50, 20)",relu,0.001,adam,0.0001,0.5994623655913979,0.04334547176504596
5,"(40,)",relu,0.01,adam,0.0001,0.5994623655913979,0.043345471765045954
67,"(40, 20)",relu,0.01,adam,1e-05,0.5994623655913979,0.05135745477027635
38,"(60, 20)",relu,0.001,adam,0.0001,0.5981182795698926,0.03558656530880034
